Message,Label
do you have bread brand or local one?,Ordering
NEED SOAP AND MAGGI AT CROSS ROAD FAST.,Complaint
"Soap kharab nikla, replace karo.",Ordering
NEED CURD AND DETERGENT AT CIVIL LINES FAST.,Ordering
PULSES HAI KYA? 2 PACKET BHEJ DO.,Inquiry
Can you send some photos of the new Sugar stock?,Inquiry
"Salt kharab nikla, replace karo.",Inquiry
please call before reaching tower a.,Complaint
Add one Tea to my basket also.,Ordering
Can you send some photos of the new Potatoes stock?,Logistics
do you have Salt brand or local one?,Ordering
The Aata is leaking.,Ordering
do you have sugar brand or local one?,Complaint
Expired Maggi bhej diya aapne.,Inquiry
Please call before reaching Building 7.,Ordering
ek packet coffee bhej do ghar pe.,Complaint
Need Maggi and Butter at Near SBI Bank fast.,Ordering
"Order for Flat 102: Honey, Soap, and sugar.",Ordering
"Order for Tower A: Pulses, Potatoes, and sugar.",Complaint
"I am not at home, please deliver at Lane 4.",Ordering
please call before reaching green apartments.,Complaint
Items are missing from my bag. Milk nahi hai isme.,Ordering
do 1kg Butter and 500g Tea urgently.,Ordering
please send 2 eggs to metro station.,Logistics
need honey and sugar at building 7 fast.,Inquiry
SALT KA PRICE KYA HAI?,Inquiry
Worst service ever for Soap.,Logistics
do you deliver in flat 102 area?,Logistics
paneer hai kya? 2 packet bhej do.,Logistics
Worst service ever for Honey.,Irrelevant
"I am not at home, please deliver at Near SBI Bank.",Complaint
add one paneer to my basket also.,Complaint
Can you pack 2 units of Coke 2L? I'll pick it up in 10 mins.,Ordering
1 box bread deliver karwa do.,Ordering
please call before reaching market area.,Ordering
Send Oil and Sugar to Lane 4 by evening.,Ordering
potatoes ka price kya hai?,Complaint
Do you deliver in Sector 15 area?,Inquiry
Pulses ka price kya hai?,Complaint
Ek packet Paneer bhej do ghar pe.,Complaint
BHAIYA MILK PACK KARDO.,Irrelevant
Need Coffee and Butter at Near SBI Bank fast.,Inquiry
1 box honey deliver karwa do.,Irrelevant
Need Shampoo and Aata at Sector 15 fast.,Logistics
Ek packet Curd bhej do ghar pe.,Logistics
Please send 2 Butter to Cross Road.,Ordering
do you have Coffee brand or local one?,Ordering
Items are missing from my bag. Coffee nahi hai isme.,Logistics
Please send 2 Oil to Tower A.,Inquiry
can you send some photos of the new aata stock?,Irrelevant
"CHECK IF COKE 2L IS IN STOCK, NEED 3 PIECES.",Logistics
"Tea kharab nikla, replace karo.",Ordering
do you have Curd brand or local one?,Ordering
CAN YOU SEND SOME PHOTOS OF THE NEW TEA STOCK?,Ordering
I ordered Maggi but you sent Coke 2L instead. Please check.,Ordering
Please send 2 Shampoo to Lane 4.,Ordering
THE SOAP IS LEAKING.,Complaint
do 1kg Rice and 500g Coke 2L urgently.,Inquiry
ek packet eggs bhej do ghar pe.,Ordering
The Pulses is leaking.,Inquiry
I ordered Butter but you sent Honey instead. Please check.,Ordering
change address to green apartments.,Complaint
do you have bread in stock?,Ordering
Do you have Potatoes in stock?,Complaint
"Mujhe Coffee chahiye, kitne ka hai?",Logistics
need coke 2l and honey at flat 102 fast.,Irrelevant
The Shampoo is leaking.,Ordering
The Maggi is leaking.,Ordering
SEND TEA AND POTATOES TO NEAR SBI BANK BY EVENING.,Ordering
do 1kg sugar and 500g tea urgently.,Inquiry
Worst service ever for Eggs.,Ordering
Do you have Curd in stock?,Inquiry
Is there a fresh stock of Eggs?,Ordering
Please send 2 Curd to Building 7.,Complaint
BHAIYA OIL PACK KARDO.,Logistics
Items are missing from my bag. Salt nahi hai isme.,Ordering
Rice hai kya? 2 packet bhej do.,Logistics
"I am not at home, please deliver at Park View.",Ordering
"CHECK IF TEA IS IN STOCK, NEED 3 PIECES.",Inquiry
Please call before reaching Lane 4.,Complaint
expired shampoo bhej diya aapne.,Logistics
Soap hai kya? 2 packet bhej do.,Ordering
"i am not at home, please deliver at huda colony.",Complaint
Can you pack 2 units of Salt? I'll pick it up in 10 mins.,Ordering
"Aata kharab nikla, replace karo.",Irrelevant
do 1kg tea and 500g shampoo urgently.,Inquiry
tea hai kya? 2 packet bhej do.,Inquiry
Is there a fresh stock of Salt?,Complaint
Please send 2 Coffee to Lane 4.,Inquiry
Oil hai kya? 2 packet bhej do.,Complaint
please send 2 aata to flat 102.,Logistics
Eggs ka price kya hai?,Logistics
please call before reaching pocket b.,Irrelevant
"order for near sbi bank: rice, curd, and sugar.",Ordering
1 box detergent deliver karwa do.,Ordering
please call before reaching flat 102.,Ordering
do 1kg shampoo and 500g shampoo urgently.,Ordering
"Bread kharab nikla, replace karo.",Logistics
The Potatoes is leaking.,Logistics
"check if potatoes is in stock, need 3 pieces.",Complaint
Change address to Market Area.,Ordering
THE EGGS IS LEAKING.,Ordering
1 box Paneer deliver karwa do.,Ordering
worst service ever for milk.,Ordering
Worst service ever for Butter.,Inquiry
Bhaiya Pulses pack kardo.,Inquiry
Do you deliver in Tower A area?,Logistics
Please send 2 Eggs to Green Apartments.,Inquiry
Please send 2 Eggs to Near SBI Bank.,Complaint
"Order for Sector 15: Aata, Detergent, and sugar.",Inquiry
items are missing from my bag. bread nahi hai isme.,Irrelevant
EXPIRED SUGAR BHEJ DIYA AAPNE.,Complaint
DO YOU HAVE PANEER IN STOCK?,Ordering
change address to near sbi bank.,Irrelevant
aata ka price kya hai?,Complaint
"Order for Lane 4: Shampoo, Aata, and sugar.",Complaint
please send 2 rice to sector 15.,Logistics
DO YOU HAVE TEA IN STOCK?,Irrelevant
"Mujhe Milk chahiye, kitne ka hai?",Ordering
Do you have Salt in stock?,Ordering
Add one Coffee to my basket also.,Ordering
Change address to Lane 4.,Logistics
Worst service ever for Coffee.,Ordering
do you have butter brand or local one?,Inquiry
DO YOU DELIVER IN LANE 4 AREA?,Inquiry
items are missing from my bag. shampoo nahi hai isme.,Inquiry
"order for park view: tea, salt, and sugar.",Ordering
"Order for Flat 102: Potatoes, Potatoes, and sugar.",Complaint
The Butter is leaking.,Inquiry
Paneer ka price kya hai?,Ordering
Add one Sugar to my basket also.,Complaint
DO YOU HAVE COKE 2L IN STOCK?,Inquiry
Can you send some photos of the new Rice stock?,Ordering
Bhaiya Coffee pack kardo.,Ordering
Curd hai kya? 2 packet bhej do.,Irrelevant
send honey and coffee to pocket b by evening.,Inquiry
do 1kg Paneer and 500g Aata urgently.,Ordering
1 box coffee deliver karwa do.,Inquiry
Can you pack 2 units of Biscuits? I'll pick it up in 10 mins.,Ordering
Do you deliver in Cross Road area?,Ordering
Need Bread and Paneer at Tower A fast.,Inquiry
"Potatoes kharab nikla, replace karo.",Complaint
Please send 2 Salt to Sector 15.,Ordering
1 box Soap deliver karwa do.,Ordering
do you have milk in stock?,Ordering
"I am not at home, please deliver at Metro Station.",Inquiry
biscuits ka price kya hai?,Complaint
Please call before reaching Park View.,Inquiry
Can you pack 2 units of Aata? I'll pick it up in 10 mins.,Ordering
"Order for Pocket B: Eggs, Paneer, and sugar.",Complaint
I ordered Oil but you sent Bread instead. Please check.,Inquiry
"Mujhe Soap chahiye, kitne ka hai?",Inquiry
"Order for Civil Lines: Tea, Honey, and sugar.",Complaint
can you pack 2 units of eggs? i'll pick it up in 10 mins.,Irrelevant
shampoo hai kya? 2 packet bhej do.,Ordering
The Tea is leaking.,Complaint
Change address to Huda Colony.,Ordering
do you have oil in stock?,Ordering
do you have Milk brand or local one?,Logistics
Please send 2 Oil to Huda Colony.,Irrelevant
I ordered Tea but you sent Sugar instead. Please check.,Irrelevant
Ek packet Potatoes bhej do ghar pe.,Complaint
change address to pocket b.,Complaint
"I am not at home, please deliver at Civil Lines.",Logistics
Is there a fresh stock of Bread?,Inquiry
Can you pack 2 units of Pulses? I'll pick it up in 10 mins.,Irrelevant
Please send 2 Coffee to Green Apartments.,Inquiry
honey hai kya? 2 packet bhej do.,Ordering
"check if sugar is in stock, need 3 pieces.",Ordering
Send Honey and Honey to Green Apartments by evening.,Inquiry
I ordered Detergent but you sent Salt instead. Please check.,Inquiry
"maggi kharab nikla, replace karo.",Complaint
Change address to Cross Road.,Ordering
expired curd bhej diya aapne.,Complaint
Bhaiya Detergent pack kardo.,Ordering
I ordered Soap but you sent Milk instead. Please check.,Ordering
Coke 2L ka price kya hai?,Complaint
please send 2 pulses to main road shop.,Inquiry
Please send 2 Sugar to Market Area.,Inquiry
do you have aata in stock?,Complaint
Do you have Coffee in stock?,Inquiry
do 1kg Potatoes and 500g Bread urgently.,Ordering
Is there a fresh stock of Curd?,Inquiry
Please send 2 Coffee to Civil Lines.,Ordering
Bread hai kya? 2 packet bhej do.,Complaint
Please send 2 Biscuits to Building 7.,Logistics
send soap and paneer to huda colony by evening.,Ordering
Need Milk and Sugar at Flat 102 fast.,Logistics
i ordered eggs but you sent soap instead. please check.,Ordering
Need Shampoo and Milk at Flat 102 fast.,Logistics
"check if Honey is in stock, need 3 pieces.",Complaint
Please send 2 Honey to Pocket B.,Irrelevant
Send Sugar and Detergent to Tower A by evening.,Ordering
BHAIYA BUTTER PACK KARDO.,Logistics
"check if oil is in stock, need 3 pieces.",Complaint
CAN YOU PACK 2 UNITS OF SUGAR? I'LL PICK IT UP IN 10 MINS.,Logistics
Bhaiya Soap pack kardo.,Irrelevant
is there a fresh stock of coffee?,Complaint
do you have Aata brand or local one?,Ordering
1 box Oil deliver karwa do.,Complaint
can you send some photos of the new coke 2l stock?,Inquiry
Bhaiya Biscuits pack kardo.,Complaint
do 1kg Butter and 500g Paneer urgently.,Ordering
Need Milk and Salt at Near SBI Bank fast.,Ordering
"pulses kharab nikla, replace karo.",Inquiry
Ek packet Biscuits bhej do ghar pe.,Inquiry
Add one Curd to my basket also.,Logistics
"Mujhe Potatoes chahiye, kitne ka hai?",Ordering
"i am not at home, please deliver at market area.",Ordering
the milk is leaking.,Ordering
Need Maggi and Aata at Civil Lines fast.,Inquiry
Add one Soap to my basket also.,Inquiry
"ORDER FOR FLAT 102: MAGGI, SHAMPOO, AND SUGAR.",Logistics
Expired Coke 2L bhej diya aapne.,Inquiry
Do you have Maggi in stock?,Ordering
PLEASE SEND 2 BREAD TO MARKET AREA.,Ordering
do 1kg shampoo and 500g curd urgently.,Logistics
"Order for Sector 15: Eggs, Aata, and sugar.",Ordering
Items are missing from my bag. Potatoes nahi hai isme.,Irrelevant
send detergent and tea to green apartments by evening.,Complaint
need biscuits and soap at metro station fast.,Ordering
Send Curd and Rice to Metro Station by evening.,Complaint
do 1kg Honey and 500g Milk urgently.,Ordering
expired honey bhej diya aapne.,Inquiry
Send Potatoes and Bread to Tower A by evening.,Logistics
please call before reaching sector 15.,Complaint
"order for pocket b: shampoo, detergent, and sugar.",Complaint
"Order for Tower A: Curd, Detergent, and sugar.",Ordering
"PANEER KHARAB NIKLA, REPLACE KARO.",Complaint
Can you send some photos of the new Maggi stock?,Complaint
Sugar ka price kya hai?,Ordering
I ordered Rice but you sent Maggi instead. Please check.,Inquiry
items are missing from my bag. sugar nahi hai isme.,Ordering
Rice ka price kya hai?,Ordering
"Mujhe Pulses chahiye, kitne ka hai?",Inquiry
DO 1KG POTATOES AND 500G MAGGI URGENTLY.,Ordering
do you have butter in stock?,Complaint
"CHECK IF BREAD IS IN STOCK, NEED 3 PIECES.",Complaint
1 box Coke 2L deliver karwa do.,Inquiry
Expired Butter bhej diya aapne.,Logistics
send tea and biscuits to pocket b by evening.,Inquiry
Need Maggi and Pulses at Huda Colony fast.,Ordering
"Detergent kharab nikla, replace karo.",Irrelevant
Is there a fresh stock of Pulses?,Inquiry
Detergent ka price kya hai?,Ordering
Please call before reaching Metro Station.,Inquiry
"check if Butter is in stock, need 3 pieces.",Ordering
"oil kharab nikla, replace karo.",Ordering
"Order for Lane 4: Tea, Pulses, and sugar.",Inquiry
Send Shampoo and Pulses to Pocket B by evening.,Ordering
Tea ka price kya hai?,Logistics
Can you pack 2 units of Coffee? I'll pick it up in 10 mins.,Complaint
please send 2 curd to metro station.,Complaint
1 box Aata deliver karwa do.,Inquiry
do 1kg Aata and 500g Salt urgently.,Inquiry
i ordered aata but you sent shampoo instead. please check.,Complaint
do you have soap brand or local one?,Complaint
Send Sugar and Bread to Huda Colony by evening.,Ordering
Items are missing from my bag. Paneer nahi hai isme.,Ordering
can you pack 2 units of oil? i'll pick it up in 10 mins.,Complaint
Do you deliver in Green Apartments area?,Inquiry
is there a fresh stock of soap?,Ordering
Send Butter and Bread to Flat 102 by evening.,Ordering
Expired Bread bhej diya aapne.,Inquiry
send rice and maggi to market area by evening.,Inquiry
Can you pack 2 units of Butter? I'll pick it up in 10 mins.,Inquiry
Can you pack 2 units of Bread? I'll pick it up in 10 mins.,Ordering
Please send 2 Sugar to Lane 4.,Ordering
Ek packet Honey bhej do ghar pe.,Logistics
"I am not at home, please deliver at Flat 102.",Logistics
BHAIYA COKE 2L PACK KARDO.,Inquiry
"Mujhe Tea chahiye, kitne ka hai?",Inquiry
I ordered Bread but you sent Maggi instead. Please check.,Inquiry
do 1kg Maggi and 500g Detergent urgently.,Ordering
I ordered Eggs but you sent Honey instead. Please check.,Ordering
NEED AATA AND MAGGI AT PARK VIEW FAST.,Ordering
Need Coffee and Aata at Lane 4 fast.,Ordering
Need Honey and Coffee at Cross Road fast.,Ordering
ITEMS ARE MISSING FROM MY BAG. MAGGI NAHI HAI ISME.,Ordering
bhaiya tea pack kardo.,Ordering
"Order for Cross Road: Milk, Milk, and sugar.",Inquiry
do you deliver in near sbi bank area?,Ordering
bhaiya bread pack kardo.,Complaint
Add one Oil to my basket also.,Ordering
add one coke 2l to my basket also.,Complaint
Can you pack 2 units of Curd? I'll pick it up in 10 mins.,Ordering
"Order for Market Area: Detergent, Coffee, and sugar.",Ordering
i ordered aata but you sent eggs instead. please check.,Inquiry
Can you send some photos of the new Coffee stock?,Logistics
I ordered Potatoes but you sent Bread instead. Please check.,Ordering
do 1kg Potatoes and 500g Salt urgently.,Inquiry
do 1kg Bread and 500g Curd urgently.,Logistics
NEED EGGS AND SOAP AT BUILDING 7 FAST.,Ordering
Expired Milk bhej diya aapne.,Complaint
I ordered Pulses but you sent Coke 2L instead. Please check.,Ordering
Add one Honey to my basket also.,Complaint
1 box Curd deliver karwa do.,Ordering
send rice and honey to sector 15 by evening.,Ordering
honey ka price kya hai?,Ordering
do 1kg curd and 500g eggs urgently.,Ordering
need pulses and biscuits at lane 4 fast.,Complaint
Potatoes hai kya? 2 packet bhej do.,Complaint
I ordered Honey but you sent Bread instead. Please check.,Logistics
can you pack 2 units of maggi? i'll pick it up in 10 mins.,Inquiry
Worst service ever for Shampoo.,Inquiry
Do you have Eggs in stock?,Ordering
I ordered Biscuits but you sent Eggs instead. Please check.,Logistics
"Order for Civil Lines: Butter, Tea, and sugar.",Complaint
do 1kg Curd and 500g Curd urgently.,Inquiry
the bread is leaking.,Inquiry
"eggs kharab nikla, replace karo.",Ordering
please call before reaching near sbi bank.,Logistics
i ordered maggi but you sent milk instead. please check.,Logistics
"check if Aata is in stock, need 3 pieces.",Ordering
I ordered Shampoo but you sent Butter instead. Please check.,Logistics
need coke 2l and tea at cross road fast.,Inquiry
"check if Detergent is in stock, need 3 pieces.",Inquiry
"Order for Near SBI Bank: Detergent, Maggi, and sugar.",Ordering
is there a fresh stock of oil?,Ordering
Can you pack 2 units of Shampoo? I'll pick it up in 10 mins.,Ordering
Need Eggs and Coke 2L at Sector 15 fast.,Ordering
i ordered aata but you sent salt instead. please check.,Irrelevant
can you pack 2 units of soap? i'll pick it up in 10 mins.,Ordering
"Milk kharab nikla, replace karo.",Complaint
CAN YOU SEND SOME PHOTOS OF THE NEW EGGS STOCK?,Ordering
"Mujhe Curd chahiye, kitne ka hai?",Ordering
do you deliver in pocket b area?,Ordering
CAN YOU SEND SOME PHOTOS OF THE NEW MILK STOCK?,Inquiry
please send 2 shampoo to park view.,Complaint
do 1kg Tea and 500g Aata urgently.,Complaint
"Mujhe Coke 2L chahiye, kitne ka hai?",Inquiry
I ordered Shampoo but you sent Milk instead. Please check.,Logistics
The Coke 2L is leaking.,Complaint
"Order for Flat 102: Eggs, Coffee, and sugar.",Ordering
The Curd is leaking.,Complaint
"RICE KHARAB NIKLA, REPLACE KARO.",Ordering
i ordered aata but you sent potatoes instead. please check.,Inquiry
"Mujhe Shampoo chahiye, kitne ka hai?",Logistics
"Order for Sector 15: Shampoo, Shampoo, and sugar.",Ordering
"Order for Metro Station: Curd, Bread, and sugar.",Ordering
need coffee and maggi at metro station fast.,Inquiry
"mujhe oil chahiye, kitne ka hai?",Ordering
Need Biscuits and Rice at Tower A fast.,Irrelevant
do 1kg Salt and 500g Pulses urgently.,Inquiry
I ordered Tea but you sent Milk instead. Please check.,Inquiry
I ORDERED DETERGENT BUT YOU SENT BREAD INSTEAD. PLEASE CHECK.,Inquiry
"CHECK IF BISCUITS IS IN STOCK, NEED 3 PIECES.",Ordering
"Order for Lane 4: Eggs, Milk, and sugar.",Complaint
Please send 2 Milk to Civil Lines.,Inquiry
can you send some photos of the new butter stock?,Inquiry
can you pack 2 units of milk? i'll pick it up in 10 mins.,Logistics
"mujhe eggs chahiye, kitne ka hai?",Inquiry
do 1kg coke 2l and 500g sugar urgently.,Ordering
do 1kg Sugar and 500g Detergent urgently.,Ordering
Send Rice and Salt to Building 7 by evening.,Inquiry
Worst service ever for Pulses.,Complaint
Need Butter and Milk at Park View fast.,Ordering
do you have Rice brand or local one?,Ordering
Ek packet Aata bhej do ghar pe.,Ordering
WORST SERVICE EVER FOR PANEER.,Ordering
bhaiya potatoes pack kardo.,Ordering
please send 2 eggs to huda colony.,Ordering
"Order for Sector 15: Aata, Shampoo, and sugar.",Complaint
